Genre,Title,Movements,Year,Date,Natural Language Date,EDTF Date,Date Source,Where,Instrumentation,Orchestration,Estimated Duration,Manuscript Status French,Manuscript Status English,Collaborator?,Text Source,Scanned,Dedication,Notes,Premiere,Recording,Tempo Charted
Chamber Music,Danses autour du monde pour saxophone alto mi bémol avec accompagnement piano ou harpe,"(1- Ile de Java, 2- Cambodge, 3- Santiago, 4- Antipodes ; 5- Au pays imaginaire)",1943,,,,,,"Alto Saxophone , Piano",,10:00,"inédit (1, 2, 4-5) inédit (SACEM) 1-3",Manuscript @ AD,,,X,Dédié à Marcel Mule,Santiago missing; 3 movements republished by Billaudot in 2007,,Michael Duke-saxophone; Joren Cain-saxophone,
Chamber Music,Deux berceuses Berceuse héroïque au soldat inconnu pour quatuor de cors en fa,1-Lento funebra; 2-Andante espressivo,1935,1-May,,,Score,Paris,Horn Quartet,,,inédit,Manuscript @ AD,,,X,Dédié au Soldat inconnu et à Donald Moore,"Reduced Score, Full Score and poem, notes by the composer on how to adapt for saxophone quartet. Entered by Aubin into Sibelius.",,,
Chamber Music,Deux berceuses pour quatuor de saxophones,(1 - ; 2- Berceuse héroïque au soldat inconnu),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,Duetto pour trompettes en si bémol (ou ut),,?,,,,,,,,,inachevé ? (brouillon),,,,,,,,,
Chamber Music,Elégie (opus 42) Transcription pour flûte et piano ou flûte solo par Quinto Maganini,,1931,1-Jul,,,Score,Auzeville,"Flute , Piano",,,"Editions Selmer, 1932",Manuscript @ AD,,,X,Dédié à Henri Selmer,Transcription by Quinto Maganini,,,
Chamber Music,Elégie (opus 42) pour clarinette en si bémol avec accompagnement piano,,1931,1-Jul,,,Score,Auzeville,"Clarinet , Piano",,,"Editions Selmer, 1932",Manuscript @ AD,,,X,Dédié à Henri Selmer,,,,
Chamber Music,Fantaisie-Prélude pour violoncelle et piano,,1949,,,,,,"Cello , Organ",,,inédit,,,,,,,,,
Chamber Music,"Frises, quatuor de clarinettes",(1- Musiciens danseurs ; 2- Pastorale ; 3- Sur la mort d’un héros ; 4- Tisseuses de voiles),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,Jazz-Toccata pour saxophone et orchestre-Redcution for saxophone and piano,,?,,,,,,"Alto Saxophone , Piano",,3:00,inédit,Manuscript @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,La Parque pour violoncelle et piano,,?,,,,,,"Cello , Piano",,,inédit,Manuscript @ AD,,,X,,There is a patch on the back that at one time was used for the trumpet part of Fantaisie Orientale pour hautbois et orchestre,,,
Chamber Music,Légende du sud Réduction pour trombone et piano,,1934,,,,Score,,"Trombone , Piano",,,"Editions de Paris, 1934",POP @ AD,,,X,Dédié à Marcel Dumont,Orchestral Version (probably original is lost),,,
Chamber Music,Les Adonis pour deux violons et piano,,?,,,,,,,,,perdu,,,,,,,,,
Chamber Music,"Les Sérénades pour flûte, violon et piano (1-7)",(1-Sérénade Espagnole; 2- Serénade Sentimentale; 3- Serénade a Shanghï; 4- Serénade a Mexico; 5- Serénade Castillane; 6- Serénade Bresilienne; 7- Serénade Antique),1949,11-Aug,,,Score,Fontainebleau,"Flute, Violin , Piano",,,inédit,Manuscript @ AD,,,X,A mon fils Michel,The order of the movements is an educated guess. Many arrangements for other combinations exist.,,,
Chamber Music,Maghreba suite arabe pour saxophone alto mi bémol et harpe,(1- Danse maghrébine ; 2- Mélopée et danse mode Sïka ; 3- Chant du désert mode Chleuh ; 4- Evocation arabe),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,Odelette pour hautbois avec accompagnement piano ou harpe,,1934,5-Jan,,,SACEM,,"Oboe , Piano or Harp",,,"Editions de Paris, 1934",POP Manuscript @ AD,,,X,"Dédié à Monsieur Morel, hautbois solo de la Garde Républicaine et des Concerts Colonne",,,,
Chamber Music,"Orientales, trio pour hautbois, clarinette et basson",(1- Mozaïques ; 2- Le chevrier ; 3- Danse de BA ; 4- Le chamelier ; 5- Fête mauresque),1943,11-Apr,,,Score,,"Oboe, Clarinet , Bassoon",,,inédit (SACEM),Manuscipt @ Royal Conservatory Antwerp Library,,,X,Dedicated to Trio d'anches de Bruxelles,,,,
Chamber Music,Pastorale triste pour cor en fa et piano,,1934,,,,Score,,"Horn , Piano",,4:00,"Editions de Paris, 1934",POP @ AD,,,X,"Dédiée à Edouard Villermoz, professeur au Conservatoire et cor solo de la Société des Concerts",,,,
Chamber Music,"Pavane, version for trio pour hautbois, clarinette et basson",,1949,4-Jun,,,Score,Fontainebleau,"Oboe, Clarinet , Bassoon",,3:00,inédit,Manuscript @ AD,,,X,,Other versions available,,,
Chamber Music,"Pavane, version for quatuor de saxophones",,1933,,,,Score,,Saxophone Quartet,,3:00,"Editions de Paris, 1933 ; Editions SEMI",POP @ AD,,,X,Dédié au Quatuor de la Garde Républicaine,Other versions available,,,
Chamber Music,"Pavane, version pour hautbois ou violon et piano",,1949,14-Aug,,,Score,Fontainebleau,"Oboe or Violin , piano",,3:00,inédit,Manuscript @ AD,,,X,,Other versions available,,Reference by Reeds Amis,
Chamber Music,Pièces françaises pour saxophone alto mi bémol avec accompagnement piano,(1- Tambourin ; 2- Le vieux calvaire ; 3- Villageoise ; 4- Forlane ; 5- L’horloge ; 6- Rondel ; 7- Rigaudon ; 8- Toccata),1943,,,,,,,,,"Editions Costallat, 1944; Editions Billaudot",Manuscript & New @ AD,,,X,Dédiées à Marcel Mule,,,Jean-Pierre Baraglioli-saxophone; Michael Duke-saxophone,
Chamber Music,Pièces romantiques pour quintette à vent,(1- Impromptu ; 2- Eglogue ; 3- Nocturne ; 4- Lied ; 5- Caprice),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,"Quatuor pour violon, alto, violoncelle et piano en ut dièse mineur","(1- andante ; 2- très modéré,allegro molto ; 3-andantino affectuoso ; 4- très modéré ,allegro con molto poco agitato)",?,,,,,,,,,"Editions Costallat, ? (SACEM)",,,,,,,,,
Chamber Music,Recueillement pour violoncelle ou violon ou clarinette et piano,,1949,October,,,SACEM,Fontainebleau,"Violin or Cello or Clarinet , Piano",,3:00,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music,Red in Blues pour trompette en si bémol et piano,,1934,,,,Score,,"Trumpet , Piano",,,Editions Selmer,POP Manuscript @ AD,,,X,Dédié à Philippe Brun,,,,
Chamber Music,Sax Volubile pour saxophone alto mi bémol avec accompagnement piano,,1934,8-Aug,,,Score,Auzeville,"Alto Saxophone , Piano",,2:00,"Editions Billaudot, 2006",Manuscript & New @ AD,,,X,No,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,Saxofonia di camera quatuor de saxophones,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,Saxophonesques pour deux saxophones altos mi bémol,,?,,,,,,,,,"Editions de Paris, ?inédits (SACEM)",,,,,,,,,
Chamber Music,"Saxophonie, quatuor de saxophones",(1- allegro moderato ; 2-lento expressivo ; 3-tempo de jazz),1934,,,,Score,,4 Saxophones,,,"Editions de Paris, 1934",POP @ AD,,,X,,"No score, just parts",,,
Chamber Music,Saxophonietta pour saxophone alto mi bémol avec accompagnement piano,,1934,29-Mar,,,SACEM,Paris?,"Alto Saxophone , Piano",,,"Editions de Paris, ?",Manuscript @ AD,,,X,No,,,,
Chamber Music,Scherzo élégiaque pour flûte et piano,,1934,,,,Score,,"Flute , Piano",,,"Editions de Paris, 1934",,,,X,"Dédié à Lucien Lavaillotte de la Société des Concerts, flûte solo de l’Opéra",,,,
Chamber Music,Scherzo Fantasque Réduction pour basson et piano,,1933,14-Dec,,,Score,Paris,"Bassoon , Piano",,,"Editions de Paris, 1934",POP Manuscript @ AD,,,X,"Dédié à Fernand Oubradous, de la Société des Concerts du Conservatoire",,,,
Chamber Music,Selmera Sax pour saxophone et orchestre: Reduction pour saxophone et piano,,1933,8-Dec,,,SACEM,,"Alto Saxophone , Piano",,2:00,"Editions de Paris, 1934",POP & Manuscript @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,Sérénade espagnole version pour violoncelle et piano,,1949-1950,,,,,Fontainebleau,"Cello , Piano",,3:00,inédit,Manuscript @ AD,,,X,,from Les Sérénades,,,
Chamber Music,Sérénade sentimentale,,1949-1950,,,,,Fontainebleau,"Oboe , Orchestra",,3:00,inédit,Manuscript @ AD,,,X,,from Les Sérénades,,,
Chamber Music,Sérénade sentimentale version pour violoncelle et piano,,1949-1950,,,,,Fontainebleau,"Cello , Piano",,3:00,inédit,Manuscript @ AD,,,X,,from Les Sérénades,,,
Chamber Music,Sextette,"(1- allegro appassionato e poco agitato, all ma non troppo, con anima ; 2-allegro schezzando to moderato di fua ; 3-tema con variazioni allegretto con moto)",?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,Sinfonia de camera pour quatuor à cordes et piano,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,Sinfonia pour quintette,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,Six duettos pour clarinettes en si bémol,"1- Scherzettino, 2- Romance en duo, 3- 3e duo, 4- 4e duo, 5- 5e duo, 6- 6e duo)",1934,27-Jan,,,Score,Paris,2 clarinets,,,"Editions de Paris, 1934",POP & Manuscript @ AD,,,X,"Dédié à Pierre Lefebvre, soliste de la Garde Républicaine et des Concerts Lamoureux",Date discrepancies.,,,
Chamber Music,Sonate en sol pour violon et piano,"(1- Allegro appassionato e con Rubato; 2- Lent, et fatigue; 3- Scherzo- pas trop vite, trés souple; 4- Vif et bien Rhthmé",1942,20-Jun,,,Score,Toulouse,"Violin , Piano",,,Fragments inédits (partie de piano perdue),Manuscript @ AD,,,X,Probably writte for André Asselin,Score says that the good copie is with Asselin,,,
Chamber Music,"Sonate en trio (2e ) pour hautbois, clarinette en si bémol et basson",(1- Moderé; 2- Andante amabile; 3- Scherzo giocoso),1949,28-Oct,,,SACEM,Fontainebleau,"Oboe, Clarinet , Bassoon",,11:30,inédit,Manuscript @ AD,,,X,"Dédiée à Paul Siguier, Maurice Coëx et Simon Colette","An earlier version with 4 movements was created in 1945 for the trio d'anches René Daraux: oboist René Daraux, clarinetist Fernand Gossens, and bassoonist Ange Maugendre",,Reference by Reeds Amis,
Chamber Music,Sonate en ut dièze mineur Réduction pour saxophone alto (ou alto) et piano,(1- Modéré et très expressif ; 2- andante ; 3- Fileuse ; 4- Nocturne et final),1943,17-Jan,,,Score,Paris,,,14:00,"Editions Costallat, 1944 ; Editions Billaudot, ?",Manuscript & New @ AD,,,X,"Dédiée à Marcel Mule, professeur de saxophone au Conservatoire Nationale de Paris",,,Claude Delangle-saxophone ; Nicolas Prost- saxophone ; Hilary Herndon viola; Michael Ibrahim-saxophone; Jean-Yves Fourmeau-saxophone,
Chamber Music,Sonate pour piano,"(1- Presque lent sans rigueur, modéré sans lenteur ; 2- adagio ; 3- Animé et tumultueux)",?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,Sonatine en mi pour violon et violoncelle,1--Modéré et souple; 2--Aria bitonal; 3--Allegro moderato,1944,13-Apr,,,Score,Paris,"Violin , Cello",,,"Editions de Paris, 1944?",POP & Manuscript @ AD,,,X,Spécialement écrite pour André Asselin et Paul Bazelaire,,,,
Chamber Music,Spleen pour saxophone alto mi bémol avec accompagnement piano,,1934,14-Sep,,,SACEM,,"Alto Saxophone , Piano",,3:30,"Editions de Paris, 1935",POP & Manuscript @ AD,,,X,Dédié à Camille Sauvage,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,Stars under the Moon pour saxophone alto mi bémol avec accompagnement piano,,1934,6-Aug,,,Score,Auzeville?,"Alto Saxophone , Piano",,3:00,inédit,Manuscript @ AD,,,X,Dédié à Camille Sauvage,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,Suite dans le style ancien pour quatuor à cordes,(1- Prélude ; 2- Courante à la française ; 3- Passepied 1 ; 4- Passepied 2; 5- Sarabande ; 5- Giga),?,,,,,,,,13:00,inédit,Manuscript @ AD,,,X,,2 copies of the prelude,,,
Chamber Music,Suite renaissance pour trompette et orgue ou piano,"1--Modéré; 2--Modéré, Souple et gracieux; 3--Andantino cantabile; 4--Moderato con ritmo",1948,23-Jul,,,Score,Fontainebleau,"Trumpet , Organ or Piano",,,inédit,Manuscript @ AD,,,X,Dédiée à Roger Voisin de la Boston Symphony Orchestra,"2 versions, possibly 3 exist. 1st version completed on 1/15/48 in Marblehead. 1st version has 5 movements and is in a different key. 3rd version is for chamber orchestra of 1111 1100 Hp str 5tet",,,
Chamber Music,Sur la lyre suite pour saxophone alto et piano,"(1- Allégorie pastorale, 2- Le Chèvre-pied, 3- Les lamentations de Joë, 4- Petit nocturne des nuits lunaires, 5- Les Bacchantes, 6- Les fées bercent Titania, 7- Quand la brise s’accorde aux lyres)",?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,The Conqueror Sax,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,The Golden Sax pour saxophone alto mi bémol avec accompagnement piano,,1934,9-Mar,,,Score,Paris?,"Alto Saxophone , Piano",,3:30,"Editions de Paris, 1934",Manuscript @ AD,,,X,Dédié à Rudy Wiedoeft,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,The Rex Sax pour saxophone alto mi bémol avec accompagnement piano,,1934,5-Aug,,,Score,Auzeville,"Alto Saxophone , Piano",,,Editions de Paris,Manuscript @ AD,,,X,No,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,Totem suite pour saxophones,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,"Trio classique pour hautbois, clarinette et basson","4 movements without pause: 1) Dans un mouvement souplé et sans lenteur. Trés expressif. 2) Allegro agitato 3) Andante poco recitativo e molto espressivo 4) Tempo moderato di Fuga, legato e serioso.",?,,,,,,"Oboe, Clarinet , Bassoon",,7:00,inédit,Manuscript @ AD,,,X,"Dédié à MM. Morel, Lefebvre et Oubradous",,,,
Chamber Music,"Trio pour flûte, basson et harpe",,?,,,,,Paris,"Flute, Bassoon , Harp",,,"inédit, fragmentaire (manque partie de harpe)",Fragments (missing harp) @ AD,,,,No,,,,
Chamber Music,"Variations en trio sur l’air du P’tit Quinquin  pour hautbois, clarinette et basson",Theme and 5 variations,1935,17-Aug,,,Score,Auzerville,"Oboe, Clarinet , Bassoon",,7:00,Editions Gras,Manuscript @ AD,,,X,"Dédié au Trio d’anches de Paris, à MM. Morel, Lefebvre et Oubradous",,,,
Chamber Music,Variations saxophoniques quatuor de saxophones,Theme and 11 variations,1939,January 2-8,,,Score,Toulouse,4 Saxophones,,15:00,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music,"Variations sur un air pyrénéen, trio pour hautbois, clarinette et basson",Theme and 14 variations,1945,11-Sep,,,Score,Paris,"Oboe, Clarinet , Bassoon",,6:00,Editions Gras,Manuscript @ AD,,,X,Dédié à Fernand Oubradous,,,Reference by Reeds Amis,
Exercices,24 études et exercices pour le piano (faciles et assez faciles),,?,,,,,,Solo Piano,,,inédit,Manuscript @ AD,,,X,,,,,
Exercices,"34 Études pour le basson: mélodiques, espressives ou a vitousité",,,,,,,,Bassoon,,,inédit,Manuscript @ AD,,,X,,Looks like she may have intended to reduce to 12. Definitive copy with Fernand Oubradous,,,
Exercices,64 leçons d’harmonie offertes à Jean Gallon,,1945-46,,,,,,,,,? (1953),,,,,,,,,
Exercices,A Child’s Avensong (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,"Alain, Françoise et leurs amis (récréation enfantine) pour piano",,?,,,,,,,,,"Editions Costallat, ?",,,,,,,,,
Exercices,"Bagatelles, 12 pièces sans difficultés (pour piano)",1-Bourée; 2--Gavotte; 3--Malagueña; 4--La Jota; 5--Danse Andalouse; 6--Rondo; 7--Menuet du Roy; 8--Chant Portugais; 9--Nuit de Noël; 10--Bergamesque; 11--Air et Bourdon; 12--Hongroise,1933,,,,Score,,Solo Piano,,,"Editions de Paris, 1933",POP @ AD,,,"Only 2, 5, 8 and 9",,,,,
Exercices,Chanteclerc (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,"Disques, suites pour piano à deux mains",(1- New-York Queenborough Bridge-Traffic ; 2- Mott Street at Night ; 3- Gouttes d’eau 4- Fifth-Avenue Bus),1930; 1930; 1930; 1931,July; November; August; November,,,Score,Forest Hills; Chinatown; Forest Hills; écrit dans l'autobus de la 5e Avenue. NY,Solo Piano,,,"Editions de Paris, 1932",POP @ AD,,,X,No,,,,
Exercices,Ecole Moderne du Saxophone,35 Etudes,1931,,,,Score,,,,,"Alphonse Leduc, 1931",POP,"Maurice Decruck-author, revision by Fernande Breil",,X,,,,,
Exercices,"Enfantillages, 12 pièces très faciles pour amuser nos enfants (piano)",(1- Ping-Pong; 2- Skating; 3- Yo-yo; 4- Croquemitaine; 5- Matamore; 6- L'ogre; 7- Le gouter; 8- Le Thé; 9- Patés de Sable; 10- Les Poilus; 11- Les Marins; 12- Les Flics,1933,14-Jul,,,Score,Garches,Solo Piano,,,"Editions de Paris, 1933",POP @ JD,,,X,,,,,
Exercices,Feuillet d’album op. 124 n° 14 (R. Schumann),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,Feuillet d’album op. 99 n° 4 (R. Schumann),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,Feuillet d’album op.124 n° 15 (R. Schumann),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,"Fillettes, 12 pièces assez faciles pour le piano",(1-L'Heure de l'École; 2- La Petite Paysanne; 3- Pour bercer Pouponnet; 4- Courous; 5- Coucou 1933; 6- Babillage; 7- La Cueillette des Cerises; 8- Pour un petit agneau; 9- Tourmentin; 10- La lettre; 11- Histoire d'une petite fée; 12- Dans les Prés fleuris),1933,30-Jul,,,Score,Auzeville,Solo Piano,,,"Editions de Paris, 1933",POP @ JD or Mimi,,,X,,,,,
Exercices,First Spring Morning (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,Legende et Allegro,7 etudes,,,,,,,"Bass , Piano, Solo Bass",,,Fragments inédits (partie de piano incomplet),Manuscript @ AD,,,,,,,,
Exercices,Miniatures polonaises pour piano,(1- Mazour ; 2- Kuyawiak ; 3- Berceuse ; 4- Dumkas ; 5- Comte de Noël ; 6- Chanson de route),1931,January,,,Score,New York,Solo Piano,,,"Editions de Paris, 1933",POP @ AD,,,X,Dédié à Raymonde Blanc,,,,
Exercices,Nurse’s Song (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,Pour un petit agneau (piano),,?,,,,,,,,,Editions de Paris (SACEM),,,,,,,,,
Exercices,Romance en fa dièse majeure n° 2(R. Schumann),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,Tarentelle (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,The Golden Player (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,The Green Gnome (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,The Grey Squirrels (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,Trois études de virtuosité pour grand orgue,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices,Valentine’s Day (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Film Music,Châteaux de cartes,,?,,,,,,,,,Editions de Paris,,G. Tzipine,,,,,,,
Film Music,Compagnie cinématographique lumière (générique),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Film Music,Générique Menjou,,?,,,,,,,,,inédit (SACEM),,G. Tzipine,,,,,,,
Film Music,L’âme des fleurs,,?,,,,,,,,,Editions de Paris,,,,,,,,,
Film Music,L’Express fantôme,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Film Music,L’Homme fantôme,,?,,,,,,,,,"Editions de Paris, ? (SACEM)",,G. Tzipine,,,,,,,
Film Music,La Marine française aux colonies,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Film Music,Laurel s’enhardit,,?,,,,,,,,,"Editions de Paris, ? (SACEM)",,G. Tzipine,,,,,,,
Film Music,Le Bagnard,,1934,,,,Score,,Solo Piano,,,Editions de Paris,POP @ AD,Michel Warlop,,X,,,,,
Film Music,Les cathédrales de l’ombre,,?,,,,,,,,,Editions de Paris,,M. Meunier,,,,,,,
Film Music,Slim gardien de la paix,,,,,,,,,,,,,,,,,,,,
Film Music,Studio à louer,,?,,,,,,,,,"Editions de Paris, ? (SACEM)",,G. Tzipine,,,,,,,
Film Music,Un grand amour,,?,,,,,,,,,"Editions de Paris, ? (SACEM)",,A. Warlop,,,,,,,
Film Music,Une étape au pays Moï,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
